Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""""","=""""",4,4.17,Knopf,Hardcover,401,2022,2022,2024/05/19,2024/05/03,to-read,to-read (#10),to-read,,,,1,0
55423083,"Wintersteel (Cradle, #8)",Will Wight,"Wight, Will",,"=""""","=""""",4,4.70,Hidden Gnome Publishing,Paperback,540,2020,2020,2024/05/19,2024/05/19,,,read,,,,1,0
50789354,"Uncrowned (Cradle, #7)",Will Wight,"Wight, Will",,"=""""","=""""",4,4.57,Hidden Gnome Publishing,Kindle Edition,336,2019,2019,2024/05/19,2024/05/19,,,read,,,,1,0
60194162,Demon Copperhead,Barbara Kingsolver,"Kingsolver, Barbara",,"=""""","=""""",0,4.51,Harper,Hardcover,560,2022,2022,,2024/05/03,to-read,to-read (#9),to-read,,,,0,0
52397,"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,"Butler, Octavia E.",,"=""0446675504""","=""9780446675505""",0,4.21,Grand Central Publishing,Paperback,345,2000,1993,,2024/04/28,to-read,to-read (#8),to-read,,,,0,0
52122096,Manacled,SenLinYu,"SenLinYu, SenLinYu",,"=""""","=""""",0,4.65,Archive of Our Own,Hardcover,925,2018,2018,,2024/04/14,to-read,to-read (#7),to-read,,,,0,0
35068705,"The Poppy War (The Poppy War, #1)",R.F. Kuang,"Kuang, R.F.",,"=""0062662597""","=""9780062662590""",0,4.17,Harper Voyager,ebook,545,2018,2018,,2024/04/14,to-read,to-read (#6),to-read,,,,0,0
29588376,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,"Lynch, Scott",,"=""""","=""""",5,4.30,Spectra,Kindle Edition,752,2016,2006,2024/02/14,2024/04/14,,,read,,,,1,0
40604556,"Red Seas Under Red Skies (Gentleman Bastard, #2)",Scott Lynch,"Lynch, Scott",,"=""""","=""""",5,4.25,Del Rey,Kindle Edition,578,2018,2007,2024/02/14,2024/04/14,,,read,,,,1,0
2890090,"The Republic of Thieves (Gentleman Bastard, #3)",Scott Lynch,"Lynch, Scott",,"=""0553804693""","=""9780553804690""",5,4.22,Del Rey,Hardcover,650,2013,2013,2024/02/14,2024/04/14,,,read,,,,1,0
43263680,"Ninth House (Alex Stern, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""1250313074""","=""9781250313072""",4,4.02,Flatiron Books,Hardcover,461,2019,2019,2024/01/14,2024/04/14,,,read,,,,1,0
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""0670069019""","=""9780670069019""",4,4.17,Viking Canada,Hardcover,480,2008,2005,2024/01/14,2024/04/14,,,read,,,,1,0
30558257,"Unsouled (Cradle, #1)",Will Wight,"Wight, Will",,"=""""","=""""",4,4.16,Hidden Gnome Publishing,Kindle Edition,294,2016,2016,2024/04/14,2024/04/14,,,read,,,,1,0
32283608,"Soulsmith (Cradle, #2)",Will Wight,"Wight, Will",,"=""""","=""""",4,4.34,Hidden Gnome Publishing,Kindle Edition,284,2016,2016,2024/04/14,2024/04/14,,,read,,,,1,0
35023786,"Blackflame (Cradle, #3)",Will Wight,"Wight, Will",,"=""""","=""""",4,4.51,Hidden Gnome Publishing,Kindle Edition,370,2017,2017,2024/04/14,2024/04/14,,,read,,,,1,0
36332410,"Skysworn (Cradle, #4)",Will Wight,"Wight, Will",,"=""""","=""""",4,4.39,Hidden Gnome Publishing,Kindle Edition,292,2017,2017,2024/04/14,2024/04/14,,,read,,,,1,0
40280403,"Ghostwater (Cradle, #5)",Will Wight,"Wight, Will",,"=""""","=""""",3,4.56,Hidden Gnome Publishing,Kindle Edition,310,2018,2018,2024/04/14,2024/04/14,,,read,,,,1,0
43895031,"Underlord (Cradle, #6)",Will Wight,"Wight, Will",,"=""""","=""""",4,4.62,Hidden Gnome Publishing,Kindle Edition,348,2019,2019,2024/04/14,2024/04/14,,,read,,,,1,0
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",Richard Howard,"=""""","=""""",2,4.33,"Harcourt, Inc.",Paperback,96,2000,1943,2024/01/02,2024/01/02,,,read,,,,1,0
57945316,Babel,R.F. Kuang,"Kuang, R.F.",,"=""0063021420""","=""9780063021426""",5,4.19,Harper Voyager,Hardcover,544,2022,2022,2024/01/02,2024/01/02,,,read,,,,1,0
60531416,Yumi and the Nightmare Painter,Brandon Sanderson,"Sanderson, Brandon",Aliya Chen,"=""1938570375""","=""9781938570377""",5,4.48,Dragonsteel Entertainment,Hardcover,480,2023,2023,2023/12/29,2023/12/29,,,read,,,,1,0
62047984,Yellowface,R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",4,3.79,William Morrow,Hardcover,336,2023,2023,2023/12/24,2023/12/24,,,read,,,,1,0
45154547,"A Desolation Called Peace (Teixcalaan, #2)",Arkady Martine,"Martine, Arkady",,"=""""","=""""",5,4.32,Tor Books,Kindle Edition,496,2021,2021,2023/12/24,2023/12/24,,,read,,,,1,0
22034,"The Godfather (The Godfather, #1)",Mario Puzo,"Puzo, Mario","Peter Bart, Robert Thompson","=""""","=""""",4,4.39,NAL,Paperback,448,2002,1969,2023/01/01,2023/04/26,,,read,,,,1,0
10803121,"The Alloy of Law (Mistborn, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765330423""","=""9780765330420""",5,4.20,Tor Books,Hardcover,332,2011,2011,2023/01/01,2023/04/26,,,read,,,,1,0
16065004,"Shadows of Self (Mistborn, #5)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765378558""","=""9780765378552""",5,4.28,Tor Books,Hardcover,383,2015,2015,2023/01/01,2023/04/26,,,read,,,,1,0
